antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Glutamate_receptor_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1'})",frozenset({'DISEASE_C0917801'}),0.0041906757464641176,0.012048192771084338,0.0041906757464641176,1.0,83.0,1.0,0.00414018567722961,inf,0.9921094160967912,0.34782608695652173,1.0,0.6739130434782609
"frozenset({'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Glutamate_receptor_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-2'})",frozenset({'DISEASE_C0917801'}),0.0041906757464641176,0.012048192771084338,0.0041906757464641176,1.0,83.0,1.0,0.00414018567722961,inf,0.9921094160967912,0.34782608695652173,1.0,0.6739130434782609
"frozenset({'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Glutamate_receptor_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3'})",frozenset({'DISEASE_C0917801'}),0.0041906757464641176,0.012048192771084338,0.0041906757464641176,1.0,83.0,1.0,0.00414018567722961,inf,0.9921094160967912,0.34782608695652173,1.0,0.6739130434782609
"frozenset({'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Glutamate_receptor_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-5'})",frozenset({'DISEASE_C0917801'}),0.0041906757464641176,0.012048192771084338,0.0041906757464641176,1.0,83.0,1.0,0.00414018567722961,inf,0.9921094160967912,0.34782608695652173,1.0,0.6739130434782609
"frozenset({'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Glutamate_receptor_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4'})",frozenset({'DISEASE_C0917801'}),0.0041906757464641176,0.012048192771084338,0.0041906757464641176,1.0,83.0,1.0,0.00414018567722961,inf,0.9921094160967912,0.34782608695652173,1.0,0.6739130434782609
"frozenset({'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-5', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4'})",frozenset({'DISEASE_C0917801'}),0.0041906757464641176,0.012048192771084338,0.0041906757464641176,1.0,83.0,1.0,0.00414018567722961,inf,0.9921094160967912,0.34782608695652173,1.0,0.6739130434782609
"frozenset({'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Glutamate_receptor_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-6'})",frozenset({'DISEASE_C0917801'}),0.0041906757464641176,0.012048192771084338,0.0041906757464641176,1.0,83.0,1.0,0.00414018567722961,inf,0.9921094160967912,0.34782608695652173,1.0,0.6739130434782609
"frozenset({'TARGET_Glutamate_receptor_2', 'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-4'})",frozenset({'DISEASE_C0917801'}),0.0041906757464641176,0.012048192771084338,0.0041906757464641176,1.0,83.0,1.0,0.00414018567722961,inf,0.9921094160967912,0.34782608695652173,1.0,0.6739130434782609
"frozenset({'TARGET_Glutamate_receptor_2', 'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-7'})",frozenset({'DISEASE_C0917801'}),0.0041906757464641176,0.012048192771084338,0.0041906757464641176,1.0,83.0,1.0,0.00414018567722961,inf,0.9921094160967912,0.34782608695652173,1.0,0.6739130434782609
"frozenset({'TARGET_Glutamate_receptor_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1'})",frozenset({'DISEASE_C0917801'}),0.0041906757464641176,0.012048192771084338,0.0041906757464641176,1.0,83.0,1.0,0.00414018567722961,inf,0.9921094160967912,0.34782608695652173,1.0,0.6739130434782609
